ID,LastName,FirstName,HireDate,HireTime
112,Williams,Bruce,9/24/2018,17:17:00
113,Williams,Leon,8/13/2018,20:18:00
114,Williams,Betty,8/18/2018,9:29:00
115,Harris,Harvey,7/28/2018,20:30:00
116,Bruce,Jean,6/24/2018,18:28:00
117,Rutherford,Michelle,7/11/2018,9:09:00
118,Havens,Maria,8/13/2018,11:03:00
119,Nix,William,6/25/2018,15:19:00
120,Mcdonald,Nellie,9/10/2018,12:52:00
121,Grady,Wayne,7/11/2018,7:09:00
122,Curran,Thomas,5/31/2018,16:57:00
123,Marsh,William,9/4/2018,9:16:00
124,Rhoades,Lorenzo,6/10/2018,16:04:00
125,Myers,Sandra,9/12/2018,8:15:00
126,Baron,Patricia,9/6/2018,13:12:00
127,Desilets,David,5/26/2018,13:59:00
128,Short,Risa,9/6/2018,16:12:00
129,Wilson,John,7/16/2018,16:31:00
130,Rangel,Maria,6/3/2018,15:52:00
131,Able,Jennifer,5/9/2018,19:07:00
132,Johnson,John,5/25/2018,19:29:00
133,Silva,Beulah,7/11/2018,17:07:00
134,Duke,Leslie,8/31/2018,19:21:00
135,Avila,Gladys,9/22/2018,9:03:00
136,Zuidema,Michael,5/22/2018,16:16:00
137,Rossi,Alice,9/10/2018,16:01:00
138,Goodin,Cheryl,6/30/2018,16:30:00
139,Russ,June,6/21/2018,12:12:00
140,Santos,John,7/1/2018,15:02:00
141,Iniguez,Elma,8/15/2018,19:09:00
142,Pelton,Eugene,9/9/2018,10:51:00
143,Laffey,Jonathan,8/17/2018,12:27:00
144,Sikorski,Roy,7/6/2018,18:31:00
145,Lloyd,Jerry,5/7/2018,15:11:00
146,Barker,Andrea,6/3/2018,18:39:00
147,Martin,Michael,5/6/2018,19:20:00
148,Jones,Harold,6/17/2018,14:53:00
149,Stultz,Clinton,5/17/2018,9:54:00
150,Keisel,Waneta,9/6/2018,17:22:00
151,Ross,Esther,9/21/2018,9:49:00
152,Forman,William,5/31/2018,18:15:00
153,Bethel,Paul,6/9/2018,17:34:00
154,Naylor,Alice,5/9/2018,16:37:00
155,Parker,Claudia,8/20/2018,20:46:00
156,Avera,Joan,8/23/2018,16:41:00
157,Crooks,Gary,6/11/2018,15:57:00
158,Schafer,Patricia,8/7/2018,8:05:00
159,Finder,Michael,6/2/2018,20:41:00
160,Reichert,Michelle,5/24/2018,14:00:00
161,Scarpello,Andrea,7/10/2018,12:49:00
162,Poitra,Mary,5/18/2018,14:40:00
163,Leonard,Gary,9/5/2018,10:13:00
164,Talbert,Tracey,6/5/2018,9:41:00
165,Koon,Mark,7/29/2018,17:51:00
166,Carroll,James,9/6/2018,18:08:00
167,Griffin,Robert,9/11/2018,14:39:00
168,Kochan,Nancy,6/27/2018,7:11:00
169,Cruse,Cheri,8/4/2018,15:49:00
170,Randall,Dona,6/24/2018,10:33:00
171,Beasley,Frank,6/29/2018,18:17:00
172,Ward,Gary,6/4/2018,8:58:00
173,Zepeda,Evelyn,7/4/2018,7:26:00
174,Dupree,Jack,5/28/2018,19:18:00
175,Dibble,Alfred,9/10/2018,15:25:00
176,Duval,Amy,7/4/2018,16:10:00
177,Rickett,Charles,8/27/2018,12:32:00
178,Brown,Priscilla,8/22/2018,18:39:00
179,Opp,Craig,7/6/2018,17:38:00
180,Rimson,Gladys,6/20/2018,18:54:00
181,Snell,Denise,7/17/2018,20:53:00
182,Mack,Christopher,7/18/2018,11:46:00
183,Mackey,Brenda,5/28/2018,9:55:00
184,Sweet,Joseph,7/4/2018,15:39:00
185,Ramirez,Ginette,9/12/2018,10:01:00
186,Bolenbaugh,Mary,6/14/2018,14:15:00
187,Haddix,Michael,6/9/2018,7:09:00
188,Tighe,Todd,7/9/2018,17:02:00
189,Mcallen,Robert,8/3/2018,7:07:00
190,Lannier,Lester,8/9/2018,8:39:00
191,Mccurren,Ryan,8/14/2018,14:28:00
192,Jones,Matthew,5/30/2018,12:06:00
193,Cheng,David,6/7/2018,17:07:00
194,Barber,Amy,9/23/2018,9:00:00
195,Bridges,Valentin,5/23/2018,9:52:00
196,Richardson,Joseph,8/20/2018,20:41:00
197,Cook,Hannah,8/2/2018,10:44:00
198,Salazar,Franklin,8/30/2018,19:57:00
199,Parent,Ione,7/5/2018,12:39:00
200,Tiry,Linda,6/7/2018,12:33:00
201,Mccurry,Nannie,7/4/2018,8:56:00
202,Roll,Ty,5/31/2018,8:12:00
203,Hall,Robert,8/12/2018,12:23:00
204,Weaver,Antoinette,9/30/2018,19:00:00
205,Garcia,Byron,6/20/2018,13:40:00
206,Farrar,Brandon,8/10/2018,11:31:00
207,Boyce,Sarah,9/3/2018,16:55:00
208,Jones,Lindsay,7/11/2018,9:40:00
209,Coulombe,Charlene,7/20/2018,9:08:00
210,Moreno,Janice,10/1/2018,13:41:00
211,Tram,Carolyn,9/3/2018,14:57:00
212,Mitchell,Charlene,8/4/2018,17:04:00
213,White,Ava,8/24/2018,8:40:00
214,Hughes,Robert,8/14/2018,18:32:00
215,Erwin,Mildred,7/6/2018,7:09:00
216,Anderson,Randy,9/26/2018,13:01:00
217,Park,Walter,7/18/2018,17:21:00
218,Forbes,Kristen,8/4/2018,15:37:00
219,Scoggins,Hattie,7/3/2018,8:14:00
220,Kabel,Ada,9/11/2018,8:47:00
221,Rhodes,Joanna,5/28/2018,14:38:00
222,Flaherty,Albert,5/12/2018,20:07:00
223,Waters,Monique,7/13/2018,9:24:00
224,Gray,John,6/4/2018,14:14:00
225,Cox,Marcella,9/12/2018,18:52:00
226,Bolton,Kristy,6/19/2018,17:56:00
227,Morgan,Tom,5/18/2018,18:21:00
228,Reed,Veronica,9/29/2018,20:35:00
229,Keomuangtai,Ruby,7/21/2018,13:12:00
230,Dumont,Evonne,9/15/2018,11:37:00
231,Olofson,Roland,8/17/2018,8:14:00
232,Gutierrez,Angela,7/5/2018,17:17:00
233,Glover,Charles,7/15/2018,16:32:00
234,Foote,Weston,7/29/2018,20:01:00
235,Lloyd,David,5/18/2018,11:29:00
236,Coppin,Lisa,8/9/2018,20:32:00
237,Pedraza,Norberto,6/13/2018,14:12:00
238,Burke,Scott,7/7/2018,8:27:00
239,Wells,Keith,9/9/2018,13:09:00
240,Nelson,Marianna,7/7/2018,18:42:00
241,Gray,Eric,6/2/2018,16:25:00
242,Sims,Benny,7/23/2018,8:24:00
243,Everett,Jennifer,6/4/2018,7:47:00
244,Morningstar,Alton,8/11/2018,7:11:00
245,Hager,Mary,7/29/2018,16:10:00
246,East,Daniel,7/29/2018,8:05:00
247,Gast,Robert,7/9/2018,10:31:00
248,Wilson,Blanche,8/16/2018,11:42:00
249,Bean,Robert,6/14/2018,8:39:00
250,Esquibel,George,7/12/2018,13:54:00
251,Collins,Steven,8/14/2018,11:08:00
252,Burnett,Donna,5/28/2018,15:17:00
253,Young,Patricia,7/30/2018,14:13:00
254,Transue,Richard,5/7/2018,16:18:00
255,Smith,Jacquelyn,9/23/2018,20:55:00
256,Steele,Anderson,8/17/2018,8:36:00
257,Veilleux,Billy,9/18/2018,19:10:00
258,Courson,Leroy,5/7/2018,13:56:00
259,Johnson,Clarence,5/20/2018,12:42:00
260,Trundle,Sandra,6/9/2018,13:53:00
261,Grant,Donna,9/29/2018,18:12:00
262,Fontaine,William,9/29/2018,18:01:00
263,Mcclane,Frank,9/10/2018,17:34:00
264,Miller,Marcie,9/29/2018,20:26:00
265,Vandamme,Holly,8/25/2018,20:19:00
266,West,Joanne,8/14/2018,19:07:00
267,Ball,Matthew,6/16/2018,7:23:00
268,Bravo,George,7/4/2018,14:58:00
269,Rodriquez,Sarah,9/5/2018,20:38:00
270,Tiblier,Evelyn,6/12/2018,9:59:00
271,Roberts,Rochelle,5/18/2018,13:14:00
272,Bergstresser,Scott,6/12/2018,13:15:00
273,Hill,Mary,5/15/2018,19:57:00
274,Wallace,Arturo,8/30/2018,17:21:00
275,Montoro,Ricardo,6/30/2018,18:53:00
276,Kuechler,Thomas,5/19/2018,17:52:00
277,Lenard,Daniel,7/21/2018,14:49:00
278,Primeaux,Priscilla,6/20/2018,20:52:00
279,Valenzuela,Christy,9/21/2018,20:57:00
280,Johnson,Michael,6/16/2018,14:48:00
281,Rivera,Ashley,8/3/2018,12:27:00
282,Papa,Lynn,8/28/2018,10:21:00
283,Moton,Sachiko,5/7/2018,19:49:00
284,Walker,Maria,6/23/2018,8:45:00
285,Mckibben,Robert,9/27/2018,18:31:00
286,Arnold,Leon,9/24/2018,14:07:00
287,Urban,Martin,9/25/2018,16:13:00
288,Brown,Ricky,6/10/2018,11:47:00
289,Ferguson,Edward,6/15/2018,13:19:00
290,Ragland,Karen,6/17/2018,10:56:00
291,Morrison,Michael,7/29/2018,13:46:00
292,Loveland,Kim,9/16/2018,8:16:00
293,Gibbons,Dominga,5/31/2018,18:45:00
294,Sellers,Tracy,8/9/2018,13:06:00
295,Barbosa,Annette,8/27/2018,19:29:00
296,Mitchell,Jennifer,8/14/2018,15:16:00
297,Berry,Allie,7/9/2018,12:54:00
298,Ternullo,Darren,6/4/2018,20:05:00
299,Gordon,Elaine,5/22/2018,17:01:00
300,Huitink,Lisa,6/2/2018,13:31:00
301,Evans,Joel,6/2/2018,16:09:00
302,Jahn,Windy,9/1/2018,7:10:00
303,Martin,Melanie,8/11/2018,10:25:00
304,Nickell,Eric,8/7/2018,18:50:00
305,Darby,Cynthia,7/4/2018,12:57:00
306,Wilson,Armida,7/4/2018,7:06:00
307,Weber,Kevin,9/30/2018,10:04:00
308,Saccucci,Lara,6/7/2018,7:39:00
309,Fritts,Alma,6/9/2018,15:02:00
310,Carlton,Nancy,7/22/2018,8:22:00
311,Tancredi,Christy,8/23/2018,14:53:00
312,Hannah,Sherri,5/13/2018,12:45:00
313,Moffatt,Gretchen,9/25/2018,16:09:00
314,Fadel,Nathan,8/18/2018,8:37:00
315,Masin,Vicki,6/21/2018,20:33:00
316,Thomas,Eric,5/8/2018,9:03:00
317,Daniell,Karen,6/6/2018,10:28:00
318,Kimes,Wilber,7/31/2018,8:09:00
319,Perdue,Dominique,8/18/2018,8:09:00
320,Irish,Hilda,8/27/2018,20:11:00
321,Edmonds,John,9/20/2018,7:49:00
322,Vasquez,Irene,8/30/2018,19:05:00
323,Carchi,Shelly,5/26/2018,11:55:00
324,Cassidy,Lynn,8/30/2018,14:08:00
325,Caruthers,John,7/27/2018,10:54:00
326,Magano,James,7/30/2018,20:07:00
327,Doherty,Victor,6/4/2018,18:02:00
328,Knott,Michael,6/8/2018,12:28:00
329,Ellingson,Warren,6/2/2018,10:43:00
330,Hoffpauir,Malcolm,7/18/2018,16:17:00
331,Sandoval,Isabelle,9/4/2018,16:26:00
332,Carpenter,Carson,8/9/2018,13:23:00
333,Parshall,Patricia,6/22/2018,17:40:00
334,Hsu,Robert,7/18/2018,16:37:00
335,Alvarez,Raquel,8/8/2018,20:53:00
336,Taylor,Jean,7/11/2018,10:36:00
337,Mills,Karin,7/9/2018,15:10:00
338,Horn,David,7/29/2018,19:08:00
339,Hancock,Melissa,9/30/2018,20:26:00
340,Devera,Laura,7/2/2018,7:05:00
341,Lipphardt,Larry,9/24/2018,12:09:00
342,Coriell,Samantha,7/7/2018,13:48:00
343,Sin,Dennis,7/22/2018,8:39:00
344,Smith,Evan,9/24/2018,9:48:00
345,Roberts,Rhoda,8/17/2018,10:26:00
346,Thomas,Anthony,8/21/2018,14:38:00
347,Leigland,Elizabeth,7/5/2018,8:27:00
348,Walkup,Clifford,9/9/2018,16:32:00
349,Boudreaux,Michelle,5/15/2018,9:59:00
350,Rackley,Merlin,9/3/2018,18:05:00
351,Thomas,Patricia,9/7/2018,15:14:00
352,Parker,Jerome,6/29/2018,7:07:00
353,Richardson,Lori,9/6/2018,13:45:00
354,Thal,David,5/18/2018,19:07:00
355,Holloway,Rachel,6/14/2018,19:52:00
356,Schull,Annie,9/23/2018,7:10:00
357,Bell,Tim,5/25/2018,15:03:00
358,Rooks,Kathryn,10/3/2018,19:27:00
359,Dewitt,Mary,6/24/2018,19:46:00
360,Stlouis,Tandra,8/3/2018,12:19:00
361,Edgar,Thomas,8/8/2018,11:12:00
362,Flaten,Charles,7/24/2018,13:25:00
363,Macky,Davis,7/1/2018,14:26:00
364,Mann,Dolly,9/28/2018,18:05:00
365,Barker,Christopher,8/28/2018,8:29:00
366,Crawford,Cynthia,7/6/2018,13:12:00
367,Wiseman,David,6/18/2018,14:51:00
368,Mackie,Julia,6/5/2018,19:19:00
369,Hagen,William,5/28/2018,14:10:00
370,Phillips,Rachel,9/25/2018,8:52:00
371,Tuinstra,Eva,7/25/2018,16:01:00
372,Lee,Paul,9/17/2018,7:38:00
373,Brooks,William,8/30/2018,8:41:00
374,Stout,Richard,5/6/2018,8:51:00
375,Anderson,Marvin,9/18/2018,11:27:00
376,Ellingson,Don,8/31/2018,19:36:00
377,Albers,Scott,7/15/2018,13:50:00
378,Goyco,Francisca,8/9/2018,8:44:00
379,Lawson,Garnett,8/20/2018,8:52:00
380,Scudder,Joaquina,5/16/2018,14:19:00
381,Goolsby,Loretta,7/24/2018,12:36:00
382,Eaves,Timothy,9/11/2018,13:41:00
383,Chin,Robert,6/2/2018,14:04:00
384,Butler,Quentin,8/10/2018,12:15:00
385,Davis,Shannon,8/24/2018,13:51:00
386,Buckley,Leonarda,6/24/2018,11:54:00
387,Barron,Alvin,8/29/2018,12:43:00
388,Fitzgerald,Bernard,7/3/2018,7:29:00
389,Smith,Dominique,5/21/2018,13:13:00
390,Terry,Patricia,8/9/2018,16:01:00
391,Moberg,Rachel,8/18/2018,7:36:00
392,Mccullough,Paul,5/31/2018,19:26:00
393,Perez,Christopher,5/14/2018,7:58:00
394,Ceja,Joan,9/16/2018,7:41:00
395,Gray,Shawna,6/10/2018,17:52:00
396,Buckles,Terry,8/28/2018,11:04:00
397,Hayes,Pierre,5/31/2018,16:38:00
398,Hoffman,Sonja,8/2/2018,11:11:00
399,Hamilton,Richard,7/10/2018,10:05:00
400,Flores,Aaron,5/8/2018,19:33:00
401,Bried,Kimberly,9/30/2018,8:15:00
402,Everts,Eugene,9/28/2018,18:51:00
403,Bayne,Tonya,7/3/2018,10:31:00
404,Rodriguez,Ronald,8/17/2018,10:50:00
405,Grant,Ronald,5/29/2018,10:06:00
406,Bates,Betsy,6/29/2018,19:15:00
407,Anderson,William,5/17/2018,8:21:00
408,Lakey,Susan,6/10/2018,12:20:00
409,Hernandez,Christopher,7/1/2018,18:09:00
410,Thoburn,Chris,5/16/2018,19:25:00
411,Ruth,Lillian,7/21/2018,12:41:00
412,Reinhardt,Francie,6/11/2018,8:32:00
413,Taylor,Philip,6/1/2018,12:19:00
414,Russell,Walter,7/24/2018,16:15:00
415,Dancy,Nathan,5/26/2018,18:50:00
416,Smith,Heather,8/19/2018,20:03:00
417,Curry,Claudia,7/21/2018,17:17:00
418,Mcgraw,Leonila,8/17/2018,15:50:00
419,Ned,Rena,5/8/2018,14:19:00
420,Palmer,Robert,8/4/2018,10:36:00
421,Malveaux,Minnie,7/12/2018,18:20:00
422,Miller,Donald,9/26/2018,19:28:00
423,Stribley,Roger,5/18/2018,12:00:00
424,Broadwell,Thomas,9/24/2018,10:46:00
425,Everhart,Tina,8/6/2018,7:48:00
426,Mckinnon,Charles,8/25/2018,17:35:00
427,Mckee,Clyde,5/28/2018,14:14:00
428,Haskins,Carissa,5/22/2018,13:20:00
429,Brickner,Richard,9/1/2018,15:58:00
430,Panther,Steve,5/28/2018,9:36:00
431,Sullivan,Tammy,8/11/2018,15:06:00
432,Bond,Micheal,6/27/2018,17:04:00
433,Haynes,Rebecca,7/8/2018,13:14:00
434,Hale,Mary,8/21/2018,17:12:00
435,Nicholson,George,6/2/2018,7:04:00
436,Bremmer,Gladys,8/17/2018,20:00:00
437,Warren,Frances,6/19/2018,18:41:00
438,Bryant,Lisa,10/3/2018,7:10:00
439,Timmerman,Stefan,7/6/2018,12:39:00
440,Stone,Riley,8/25/2018,13:19:00
441,Evenson,Yvonne,5/11/2018,13:26:00
442,Ross,Annie,6/21/2018,10:53:00
443,Hair,Ola,8/25/2018,13:29:00
444,Mckie,Carrie,6/15/2018,17:34:00
445,Jackson,Florence,8/3/2018,10:50:00
446,Currie,Martha,5/23/2018,10:17:00
447,Rogers,John,8/22/2018,10:07:00
448,Hyde,Jimmie,9/4/2018,16:23:00
449,Bankston,Everett,9/4/2018,11:38:00
450,Gallagher,Justin,5/24/2018,8:17:00
451,Miller,Ashley,7/17/2018,7:36:00
452,Bass,Luis,6/30/2018,12:21:00
453,Dhondt,Judith,9/22/2018,20:20:00
454,Scroggins,Angela,9/13/2018,20:40:00
455,Shufelt,Jeff,8/17/2018,10:57:00
456,Obrien,Jason,8/22/2018,14:37:00
457,Glover,Leta,6/12/2018,17:16:00
458,Pendleton,Earl,5/17/2018,16:05:00
459,Painter,Dorothy,8/15/2018,20:49:00
460,Mills,Marcos,9/5/2018,19:25:00
461,Hellman,Patsy,8/23/2018,13:35:00
462,Orbeck,Troy,9/24/2018,13:22:00
463,Treleven,Irma,6/20/2018,9:09:00
464,Mueller,Pablo,9/4/2018,15:41:00
465,Atwood,Robert,8/7/2018,14:47:00
466,Couch,Priscilla,8/29/2018,12:09:00
467,Riley,Jan,8/2/2018,12:38:00
468,Hewson,Amy,9/18/2018,20:56:00
469,Wingo,Sharon,7/8/2018,9:33:00
470,Prince,Christopher,8/15/2018,7:17:00
471,Lones,Melanie,5/6/2018,15:50:00
472,Macdonald,Jose,7/14/2018,10:38:00
473,Thompson,Ida,5/6/2018,14:08:00
474,Salvador,Danelle,9/17/2018,18:20:00
475,Baker,Jason,9/24/2018,18:39:00
476,Lewis,John,8/30/2018,11:36:00
477,Pike,Aura,6/7/2018,15:23:00
478,Braswell,Sharla,5/21/2018,8:29:00
479,Johnson,Michael,8/19/2018,16:20:00
480,Derogatis,Kevin,7/19/2018,11:39:00
481,Leslie,Loraine,7/31/2018,20:02:00
482,Kraus,Evan,7/10/2018,8:35:00
483,Longacre,Brian,8/3/2018,14:38:00
484,Nguyen,Carol,7/3/2018,12:24:00
485,Jensen,Richard,7/26/2018,17:06:00
486,Starnes,Robert,8/14/2018,20:55:00
487,Englert,Henry,8/31/2018,12:00:00
488,Cooley,Leonard,8/3/2018,10:47:00
489,Redman,David,7/9/2018,14:08:00
490,Willis,Jose,7/23/2018,9:31:00
491,Smith,Richard,6/22/2018,12:24:00
492,Long,Rebecca,7/6/2018,19:08:00
493,Mitchell,Kelly,7/8/2018,9:00:00
494,Price,William,8/9/2018,16:08:00
495,Juan,Billie,9/13/2018,12:35:00
496,Segura,Charles,9/18/2018,11:02:00
497,Collazo,Constance,7/19/2018,20:13:00
498,Olmsted,Kevin,9/4/2018,15:21:00
499,Clark,Laura,7/17/2018,9:50:00
500,Ashley,Stephanie,7/18/2018,10:59:00
501,Harr,Arthur,9/2/2018,14:34:00
502,Neely,Norma,7/5/2018,11:11:00
503,Darby,Doris,5/11/2018,9:33:00
504,Larick,Mai,6/27/2018,11:56:00
505,Moss,James,10/2/2018,16:15:00
506,Hutchinson,Johanna,8/23/2018,7:09:00
507,Joseph,Alice,9/23/2018,8:27:00
508,Potter,Charles,7/30/2018,17:21:00
509,Robledo,Desiree,9/28/2018,17:05:00
510,Tarvin,Melodie,7/29/2018,10:14:00
511,Loew,Evelyn,6/11/2018,9:46:00
512,Lee,Kathleen,5/30/2018,17:46:00
513,Slaton,Marcus,7/10/2018,8:57:00
514,Neal,Bertha,6/13/2018,13:09:00
515,Zimmer,Hiram,9/20/2018,15:35:00
516,Helton,Annie,6/28/2018,9:34:00
517,Myers,Donald,7/18/2018,18:32:00
518,Reynolds,Bonita,9/23/2018,8:37:00
519,Harbeson,Minnie,5/10/2018,11:49:00
520,Benavides,Dennis,9/7/2018,11:03:00
521,Nagle,Ivan,9/16/2018,20:41:00
522,Crabtree,Michael,5/9/2018,18:45:00
523,Brown,Homer,7/28/2018,12:33:00
524,Blanton,Patrick,5/7/2018,17:34:00
525,Cheng,Paul,10/3/2018,15:18:00
526,Slattery,Richard,8/28/2018,9:29:00
527,Osborne,Carla,7/16/2018,14:45:00
528,Wang,Carlos,7/14/2018,19:57:00
529,Moore,Sara,6/27/2018,8:20:00
530,Mitchell,Harvey,9/25/2018,20:24:00
531,Manfre,Kelly,9/10/2018,15:00:00
532,Wauch,David,9/4/2018,9:38:00
533,Walstrum,Randy,7/10/2018,16:51:00
534,Walker,Heather,10/3/2018,9:09:00
535,Young,Manuel,9/15/2018,15:32:00
536,Moore,Tammy,8/14/2018,20:44:00
537,Chewning,Eugene,8/1/2018,11:19:00
538,Stephens,Danielle,6/8/2018,17:37:00
539,Vinson,Shawn,9/9/2018,7:57:00
540,Carlson,Randy,8/25/2018,17:49:00
541,Carter,Johnathon,9/13/2018,11:43:00
542,Reiff,Phyllis,9/14/2018,16:09:00
543,Quirk,Dorothy,7/22/2018,9:03:00
544,Burgess,Dennis,6/13/2018,20:07:00
545,Gomez,Jessica,7/11/2018,17:53:00
546,Rojas,Carlton,7/18/2018,8:29:00
547,Schumaker,Steven,5/28/2018,16:31:00
548,Yeager,Julia,9/10/2018,18:04:00
549,Duncan,Katrina,7/13/2018,18:56:00
550,Murillo,Shawn,5/16/2018,15:02:00
551,Aromin,Harold,5/20/2018,7:33:00
552,Black,Patty,6/21/2018,11:23:00
553,Gordon,Angela,6/1/2018,10:10:00
554,Johnson,Rosie,6/21/2018,13:24:00
555,Langford,Steven,6/6/2018,14:42:00
556,Smith,Wanda,6/19/2018,20:49:00
557,Hill,Emma,6/18/2018,9:30:00
558,Mcnair,Jeff,8/15/2018,11:25:00
559,Holmes,Fernando,9/14/2018,14:37:00
560,Hasler,Elsa,9/25/2018,17:50:00
561,Miller,Gilbert,8/24/2018,14:11:00
562,Oberholtzer,Inez,9/6/2018,10:09:00
563,Giliberto,Thomas,9/6/2018,10:17:00
564,Stone,Curtis,6/4/2018,20:19:00
565,Mcculough,Elizabeth,8/11/2018,8:40:00
566,Rogers,Peter,6/2/2018,19:31:00
567,Hernandez,William,6/15/2018,11:21:00
568,Mccracken,Karen,9/20/2018,15:26:00
569,Besley,Marshall,9/4/2018,14:50:00
570,Bibb,Dagmar,5/21/2018,16:33:00
571,Mccarthy,Elane,8/28/2018,13:24:00
572,Miller,Douglas,7/2/2018,9:06:00
